LumiCycle: Ca1a-Bmal1-1 (Raw),,,,,,,,,
Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec
1.24306,1409.004,1.24306,1287.457,1.24306,1882.617,1.24306,1832.152,1.24306,1542.614
1.25,1405.078,1.25,1262.705,1.25,1870.619,1.25,1809.625,1.25,1533.343
1.25694,1384.899,1.25694,1250.079,1.25694,1836.867,1.25694,1774.494,1.25694,1547.574
1.26389,1375.837,1.26389,1237.137,1.26389,1815.181,1.26389,1749.582,1.26389,1540.871
1.27083,1367.837,1.27083,1215.876,1.27083,1793.679,1.27083,1716.835,1.27083,1545.854
1.27778,1350.742,1.27778,1199.17,1.27778,1763.237,1.27778,1693.573,1.27778,1549.384
1.28472,1345.346,1.28472,1189.108,1.28472,1748.487,1.28472,1667.2,1.28472,1552.97
1.29167,1329.544,1.29167,1168.803,1.29167,1720.647,1.29167,1648.66,1.29167,1562.466
1.29861,1324.308,1.29861,1155.172,1.29861,1702.697,1.29861,1624.301,1.29861,1564.915
1.30556,1314.011,1.30556,1140.97,1.30556,1679.445,1.30556,1593.737,1.30556,1565.707
1.3125,1304.403,1.3125,1133.427,1.3125,1649.216,1.3125,1566.529,1.3125,1577.374
1.31944,1303.422,1.31944,1118.212,1.31944,1632.524,1.31944,1547.475,1.31944,1584.378
1.32639,1295.415,1.32639,1103.016,1.32639,1607.14,1.32639,1518.696,1.32639,1591.826
1.33333,1277.889,1.33333,1089.88,1.33333,1583.278,1.33333,1496.471,1.33333,1603.215
1.34028,1273.405,1.34028,1083.626,1.34028,1567.134,1.34028,1478.02,1.34028,1600.104
1.34722,1264.773,1.34722,1074.139,1.34722,1538.032,1.34722,1442.71,1.34722,1607.05
1.35417,1252.755,1.35417,1053.728,1.35417,1510.92,1.35417,1422.308,1.35417,1607.771
1.36111,1252.467,1.36111,1053.195,1.36111,1493.373,1.36111,1399.446,1.36111,1599.807
1.36806,1223.817,1.36806,1036.197,1.36806,1480.076,1.36806,1374.46,1.36806,1609.762
1.375,1227.157,1.375,1027.137,1.375,1460.743,1.375,1355.065,1.375,1615.769
1.38194,1216.627,1.38194,1012.013,1.38194,1433.544,1.38194,1334.793,1.38194,1633.129
1.38889,1207.221,1.38889,1004.004,1.38889,1407.094,1.38889,1322.204,1.38889,1631.616
1.39583,1200.586,1.39583,992.74,1.39583,1393.955,1.39583,1298.663,1.39583,1644.927
1.40278,1196.936,1.40278,989.672,1.40278,1378.166,1.40278,1264.447,1.40278,1650.632
1.40972,1185.254,1.40972,973.684,1.40972,1355.245,1.40972,1237.649,1.40972,1650.171
1.41667,1182.049,1.41667,960.793,1.41667,1333.064,1.41667,1238.167,1.41667,1661.03
1.42361,1173.024,1.42361,951.283,1.42361,1316.575,1.42361,1203.892,1.42361,1667.415
1.43056,1161.625,1.43056,937.689,1.43056,1297.762,1.43056,1183.101,1.43056,1670.695
1.4375,1161.384,1.4375,938.712,1.4375,1277.666,1.4375,1167.717,1.4375,1688.553
1.44444,1155.442,1.44444,923.979,1.44444,1263.095,1.44444,1138.007,1.44444,1694.307
1.45139,1186.625,1.45139,930.127,1.45139,1310.435,1.45139,1131.507,1.45139,1784.809
1.45833,1134.394,1.45833,908.767,1.45833,1234.329,1.45833,1096.364,1.45833,1711.327
1.46528,1124.077,1.46528,895.551,1.46528,1216.795,1.46528,1070.173,1.46528,1719.308
1.47222,1121.206,1.47222,894.592,1.47222,1189.176,1.47222,1054.98,1.47222,1721.68
1.47917,1116.777,1.47917,888.156,1.47917,1163.785,1.47917,1028.649,1.47917,1725.934
1.48611,1109.236,1.48611,874.37,1.48611,1150.642,1.48611,1016.752,1.48611,1723.695
1.49306,1103.979,1.49306,866.055,1.49306,1131.511,1.49306,1003.961,1.49306,1729.169
1.5,1098.524,1.5,856.394,1.5,1114.224,1.5,982.687,1.5,1731.056
1.50694,1095.873,1.50694,851.405,1.50694,1102.621,1.50694,962.81,1.50694,1731.279
1.51389,1086.671,1.51389,838.927,1.51389,1081.439,1.51389,945.991,1.51389,1735.227
1.52083,1082.819,1.52083,824.702,1.52083,1067.686,1.52083,927.506,1.52083,1730.407
1.52778,1076.267,1.52778,816.219,1.52778,1052.225,1.52778,911.127,1.52778,1739.065
1.53472,1062.433,1.53472,807.833,1.53472,1039.358,1.53472,897.323,1.53472,1750.886
1.54167,1055.965,1.54167,805.669,1.54167,1028.092,1.54167,885.648,1.54167,1743.561
