,,,,,,,,,
Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec
1.28472,830.654,1.28472,796.483,1.28472,893.772,1.28472,899.85,1.28472,823.025
1.29167,831.749,1.29167,781.419,1.29167,884.433,1.29167,892.989,1.29167,819.39
1.29861,831.576,1.29861,774.827,1.29861,868.997,1.29861,897.057,1.29861,827.087
1.30556,830.659,1.30556,770.572,1.30556,866.308,1.30556,898.393,1.30556,821.565
1.3125,828.177,1.3125,757.156,1.3125,854.579,1.3125,901.971,1.3125,828.206
1.31944,829.833,1.31944,750.894,1.31944,846.426,1.31944,907.785,1.31944,834.116
1.32639,832.844,1.32639,747.158,1.32639,833.751,1.32639,908.766,1.32639,839.157
1.33333,842.029,1.33333,745.876,1.33333,823.865,1.33333,919.534,1.33333,836.176
1.34028,842.969,1.34028,738.928,1.34028,819.679,1.34028,916.506,1.34028,853.552
1.34722,849.005,1.34722,732.645,1.34722,803.733,1.34722,928.747,1.34722,853.095
1.35417,854.766,1.35417,725.821,1.35417,798.807,1.35417,935.614,1.35417,857.575
1.36111,855.76,1.36111,727.033,1.36111,797.54,1.36111,933.796,1.36111,874.269
1.36806,865.367,1.36806,714.686,1.36806,786.29,1.36806,946.812,1.36806,890.203
1.375,873.293,1.375,715.689,1.375,778.576,1.375,963.388,1.375,881.485
1.38194,883.363,1.38194,706.039,1.38194,774.053,1.38194,971.265,1.38194,902.253
1.38889,890.113,1.38889,699.792,1.38889,766.039,1.38889,978.939,1.38889,920.433
1.39583,901.87,1.39583,702.836,1.39583,763.366,1.39583,986.801,1.39583,930.17
1.40278,907.801,1.40278,700.009,1.40278,755.754,1.40278,1002.77,1.40278,931.784
1.40972,923.372,1.40972,703.51,1.40972,756.561,1.40972,1010.069,1.40972,954.745
1.41667,938.497,1.41667,694.455,1.41667,751.455,1.41667,1023.86,1.41667,964.451
1.42361,949.398,1.42361,693.178,1.42361,745.491,1.42361,1034.963,1.42361,970.372
1.43056,961.369,1.43056,698.317,1.43056,746.003,1.43056,1052.942,1.43056,1004.091
1.4375,972.59,1.4375,702.124,1.4375,742.409,1.4375,1065.313,1.4375,1008.902
1.44444,982.99,1.44444,696.209,1.44444,741.272,1.44444,1079.686,1.44444,1032.943
1.45139,1005.589,1.45139,698.666,1.45139,730.253,1.45139,1102.812,1.45139,1042.378
1.45833,1017.358,1.45833,694.314,1.45833,735.559,1.45833,1114.964,1.45833,1066.353
1.46528,1034.422,1.46528,695.239,1.46528,733.729,1.46528,1125.231,1.46528,1080.727
1.47222,1045.126,1.47222,697.259,1.47222,733.321,1.47222,1140.003,1.47222,1092.559
1.47917,1059.77,1.47917,694.879,1.47917,723.801,1.47917,1166.402,1.47917,1108.58
1.48611,1073.229,1.48611,696.558,1.48611,719.903,1.48611,1180.069,1.48611,1124.66
1.49306,1093.61,1.49306,701.999,1.49306,720.595,1.49306,1198.061,1.49306,1150.52
1.5,1107.297,1.5,696.021,1.5,719.305,1.5,1205.18,1.5,1166.82
1.50694,1121.241,1.50694,698.446,1.50694,721.454,1.50694,1235.196,1.50694,1179.833
1.51389,1131.287,1.51389,696.896,1.51389,718.745,1.51389,1238.108,1.51389,1197.001
1.52083,1145.161,1.52083,706.059,1.52083,719.964,1.52083,1264.007,1.52083,1216.175
1.52778,1166.337,1.52778,710.092,1.52778,722.521,1.52778,1276.06,1.52778,1239.399
1.53472,1178.977,1.53472,704.942,1.53472,717.506,1.53472,1292.418,1.53472,1250.461
1.54167,1189.698,1.54167,713.819,1.54167,719.889,1.54167,1314.279,1.54167,1271.415
1.54861,1208.347,1.54861,724.184,1.54861,717.314,1.54861,1324.892,1.54861,1283.095
1.55556,1228.741,1.55556,719.676,1.55556,721.236,1.55556,1351.083,1.55556,1297.908
1.5625,1235.943,1.5625,717.424,1.5625,721.318,1.5625,1356.664,1.5625,1321.686
1.56944,1257.758,1.56944,726.885,1.56944,727.732,1.56944,1372.717,1.56944,1333.026
